id	formula	adduct	mz	rt	fold_change	p-value	ratio		
TTOF0340	C27H32N6	+H	441.2756	3.87	1.20	0.235	1/1		
TTOF0341	C22H29N7O	+H	408.2503	10.3	1.00	0.992	1/1		
TTOF0342	C31H33ClN2O3	+H	517.2253	24.41	1.11	0.002	1/1		
TTOF0343	C20H15ClF3N5	+H	418.1038	10.16	1.43	0.001	1/1		
TTOF0344	C12H13N3O3S	+H	280.0749	22.28	1.37	0.019	1/1		
TTOF0345	C22H32N6	+H	381.2761	5.34	1.10	0.475	1/1		
TTOF0346	C20H25N5O2	+H	368.2077	3.85	1.30	0.054	1/1		
TTOF0347	C20H20N2O4	+H	353.1496	6.55	1.15	0.111	1/1		
TTOF0348	C21H17F3N4	+H	383.1476	6.9	1.35	0.097	1/1		
TTOF0349	C25H21N3O	+H	380.1754	3.39	0.85	0.231	1/1		
TTOF0350	C19H12F4N4O2	+H	405.0968	8.42	1.13	0.088	1/1		
TTOF0351	C20H21N5O4	+H	396.1663	6.29	1.55	0.007	1/1		
TTOF0352	C17H18N2	+H	251.1542	9.96	0.95	0.537	1/1		
TTOF0353	C30H28N2O6S	+H	545.174	31.16	1.05	0.595	1/1		
TTOF0354	C16H14BrN3O3	+H	376.0291	4.8	1.26	0.076	1/1		
TTOF0355	C26H25F9N2O4	+H	601.1745	31.9	1.10	0.204	1/1		
TTOF0356	C20H18F6N4O	+H	445.1455	9.27	1.28	0.013	1/1		
TTOF0357	C27H29NO3	+H	416.2221	29.49	1.10	0.226	1/1		
TTOF0358	C24H27ClN2O4	+H	443.1733	9.04	1.33	0.003	1/1		
TTOF0359	C22H20FN3O2	+H	378.1611	27.68	0.98	0.891	1/1		
TTOF0360	C12H17N3O3S	+H	284.1062	4.01	1.21	0.015	1/1		
TTOF0361	C22H26FN3O2	+H	384.208	21.21	0.85	0.464	1/1		
TTOF0362	C31H38N8O3	+H	571.314	5.62	1.21	0.034	1/1		
TTOF0363	C12H7N3O2S	+H	258.0327	6.99	1.07	0.513	1/1		
TTOF0364	C18H17F3N2O3	+H	367.1266	7.7	1.03	0.401	1/1		
TTOF0365	C15H20BrN3O	+H	338.0859	3.25	1.11	0.023	1/1		
TTOF0366	C18H21N3O2	+H	312.1707	5.07	1.14	0.169	1/1		
TTOF0367	C7H15N	+H	114.1271	0.59	1.36	0.310	2/1		
TTOF0368	C21H16N2O9S2	+H	505.0367	3.41	0.98	0.893	1/1		
TTOF0369	C23H27N5	+H	374.2335	8.88	1.11	0.288	1/1		
TTOF0370	C19H20Br2N6O4S	+H	588.9687	29.81	0.94	0.556	1/1		
TTOF0371	C31H52O3	+H	473.3944	32.73	1.57	0.012	1/1		
TTOF0372	C17H18Br2N2O	+H	426.9834	18.55	1.15	0.032	1/1		
TTOF0373	C14H16N4O3S	+H	321.0981	3.77	1.33	0.001	1/1		
TTOF0374	C17H18F3N3O3	+H	370.137	18.33	1.26	0.092	1/1		
TTOF0375	C8H10N2O3S	+H	215.0484	2.54	1.27	0.014	1/1		
TTOF0376	C17H18N6	+H	307.1666	6.64	1.19	0.041	1/1		
TTOF0377	C28H24FN3O5	+H	502.1774	16.18	1.07	0.061	1/1		
TTOF0378	C21H16ClF3N4O3	+H	465.094	28.93	0.97	0.564	1/1		
TTOF0379	C20H21FN6O5	+H	445.1627	14.76	1.27	0.003	1/1		
TTOF0380	C13H16N4O	+H	245.1397	3.19	1.09	0.285	1/1		
TTOF0381	C24H28N2O3	+H	393.2176	9.69	1.30	0.002	1/1		
TTOF0382	C24H28N2O3	+H	393.2172	30.26	1.03	0.272	1/1		
TTOF0383	C18H22N2S	+H	299.1578	16.78	1.16	0.060	1/1		
TTOF0384	C22H21Cl3N4O	+H	463.0855	31.45	1.22	0.074	1/1		
TTOF0385	C22H24N2O8	+H	445.1618	14.76	1.27	0.004	1/1		
TTOF0386	C26H30N6O3	+H	475.2451	8.93	1.14	0.303	1/1		
TTOF0387	C31H38N6O2	+H	527.3123	8.33	0.97	0.766	1/1		
TTOF0388	C31H38N6O2	+H	527.3123	9.92	1.09	0.366	1/1		
TTOF0389	C53H83NO14	+Na	980.5712	31.6	0.71	0.260	1/1		
TTOF0390	C5H11NO4S	+Na	204.0299	0.65	1.36	0.024	1/1		
TTOF0391	C20H36O2	+Na	331.2606	31.11	1.04	0.021	1/1		
TTOF0392	C20H28O5S	+NH4	398.1994	10.94	1.17	0.011	1/1		
TTOF0393	C18H17NO5	+NH4	345.1464	3.76	1.21	0.006	1/1		
TTOF0394	C21H25ClO6	+NH4	426.1676	17.11	2.04	0.059	2/1		
TTOF0395	C12H18O	+NH4	196.1695	14.74	1.17	0.144	1/1		
TTOF0396	C10H12O	+NH4	166.1223	3.79	1.15	0.078	1/1		
TTOF0397	C5H11NO2S	+NH4	167.0851	7.84	1.00	0.972	1/1		
TTOF0398	C26H29NO4S2	+H	484.1613	15.53	1.08	0.439	1/1		
TTOF0399	C20H23N	+H	278.1905	9.99	1.06	0.596	1/1		
TTOF0400	C7H15NO2	+H	146.1169	0.58	1.07	0.713	1/1		
TTOF0401	C16H25NO4S	+H	328.1578	3.35	1.27	0.004	1/1		
TTOF0402	C20H18N4O3	+H	363.1452	4.27	0.89	0.259	1/1		
TTOF0403	C27H28N2O3	+H	429.2171	10.02	1.07	0.583	1/1		
TTOF0404	C18H11BrN2O2	+H	367.0074	24.97	1.27	0.001	1/1		
TTOF0405	C19H12ClN3O2	+H	350.069	20.42	1.28	0.023	1/1		
TTOF0406	C14H16N2O	+H	229.1334	3.58	1.24	0.018	1/1		
TTOF0407	C28H33N7O2	+H	500.277	5.59	1.01	0.670	1/1		
TTOF0408	C17H13Cl2NO4	+H	366.0291	17.97	1.06	0.624	1/1		
TTOF0409	C14H11Cl3N2O3	+H	360.9906	28.99	1.18	0.143	1/1		
TTOF0410	C25H27NO2	+H	374.2117	19.41	1.03	0.533	1/1		
TTOF0411	C26H22Cl2N4O3	+H	509.1142	28.61	1.18	0.001	1/1		
TTOF0412	C29H32O7S	+H	525.1939	28.79	1.14	0.029	1/1		
TTOF0413	C18H13N3OS2	+H	352.0572	6.17	0.88	0.128	1/1		
TTOF0414	C28H35ClN6O3	+H	539.2532	4.04	0.97	0.550	1/1		
TTOF0415	C18H17NO4	+H	312.1232	23.7	0.97	0.332	1/1		
TTOF0416	C21H23N3O5	+H	398.1708	3.51	1.20	0.126	1/1		
TTOF0417	C18H19F3N6O	+H	393.1643	4.69	1.25	0.006	1/1		
TTOF0418	C23H19NO3	+H	358.1441	28.3	1.19	0.009	1/1		
TTOF0419	C35H51N5O4	+H	606.401	3.48	0.47	0.002	1/2		
TTOF0420	C13H16N4O2	+H	261.1347	3.47	1.21	0.003	1/1		
TTOF0421	C30H38ClN7O3	+H	580.2794	5.76	1.34	0.242	1/1		
TTOF0422	C17H13Br2N5OS	+H	495.9259	12.31	0.96	0.548	1/1		
TTOF0423	C18H16FN3O	+H	310.1351	7.1	1.33	0.000	1/1		
TTOF0424	C36H39NO5	+H	566.2902	25.4	1.23	0.019	1/1		
TTOF0425	C21H19FN6O2	+H	407.1625	4.86	1.33	0.054	1/1		
TTOF0426	C18H17F3N2O2	+H	351.1314	31.46	0.98	0.846	1/1		
TTOF0427	C19H20N2O2	+H	309.1598	5.24	1.37	0.020	1/1		
TTOF0428	C15H11Cl2NO3	+H	324.0188	17.9	0.77	0.230	1/1		
TTOF0429	C11H6F3NO2S	+H	274.0144	24.92	1.22	0.187	1/1		
TTOF0430	C26H34ClN6O2P	+H	529.2241	3.69	1.42	0.145	1/1		
TTOF0431	C21H24N4O2	+H	365.1973	21.05	1.01	0.633	1/1		
TTOF0432	C33H43N7O2	+H	570.3554	11.8	1.13	0.006	1/1		
TTOF0433	C20H16N6S	+H	373.1233	4.04	1.18	0.040	1/1		
TTOF0434	C16H25N3O3	+H	308.1966	4.97	1.07	0.190	1/1		
TTOF0435	C27H36N6O3S	+H	525.2641	3.95	1.09	0.009	1/1		
TTOF0436	C18H23F2N5O4S2	+H	476.1233	17.71	1.24	0.001	1/1		
TTOF0437	C28H36O15	+H	613.2122	7.45	1.33	0.021	1/1		
TTOF0438	C16H18N2O2	+H	271.1441	4.97	1.45	0.003	1/1		
TTOF0439	C24H23ClFN5O2	+H	468.1594	4.99	1.02	0.624	1/1		
TTOF0440	C24H23N3O5	+H	434.171	18.49	1.42	0.015	1/1		
TTOF0441	C21H15F4N5O2S	+H	478.0953	27.08	1.11	0.022	1/1		
TTOF0442	C48H78O19	+H	959.5209	9.88	0.68	0.078	1/1		
TTOF0443	C27H41NO2	+H	412.321	9.82	0.83	0.162	1/1		
TTOF0444	C13H12N2O	+H	213.1023	4.05	0.95	0.576	1/1		
TTOF0445	C20H24O6	+H	361.1647	8.76	1.13	0.193	1/1		
TTOF0446	C15H15FIN3O3	+H	432.0213	6.51	1.25	0.025	1/1		
TTOF0447	C28H36O3	+H	421.2738	32.13	1.07	0.298	1/1		
TTOF0448	C17H19FN4O4	+H	363.1456	4.27	0.90	0.274	1/1		
TTOF0449	C34H34F2N4O6	+H	633.2518	8.39	0.91	0.174	1/1		
TTOF0450	C25H22F3N5O4S	+H	546.142	20.18	1.18	0.022	1/1		
TTOF0451	C18H11F3N2O	+H	329.0893	26	1.40	0.004	1/1		
TTOF0452	C30H42N8O3	+H	563.3447	3.57	1.30	0.118	1/1		
TTOF0453	C9H9N3O2	+H	192.0767	3.26	1.14	0.072	1/1		
TTOF0454	C26H40O3	+H	401.3047	33.36	1.06	0.407	1/1		
TTOF0455	C22H30O4	+H	359.2214	14.41	1.09	0.272	1/1		
TTOF0456	C28H37N3O3S3	+H	560.2075	23.83	1.07	0.670	1/1		
TTOF0457	C24H26N4O4	+H	435.2028	7.97	1.34	0.015	1/1		
TTOF0458	C16H14Br2N4O4	+H	486.9431	30.82	1.08	0.349	1/1		
TTOF0459	C5H5N5S	+H	168.0326	35.89	1.19	0.411	1/1		
TTOF0460	C6H7NO2	+H	126.0544	0.68	0.89	0.798	1/1		
TTOF0461	C17H15BrClFN4O3	+H	459.0048	12.02	1.16	0.087	1/1		
TTOF0462	C21H16F4N4O2S	+H	465.1002	26.19	1.12	0.107	1/1		
TTOF0463	C21H20N4O3	+H	377.1606	3.52	1.03	0.677	1/1		
TTOF0464	C27H32ClN5O5	+H	542.2161	4.27	0.70	0.036	1/1		
TTOF0465	C19H17N5O7S3	+H	524.036	6.79	1.36	0.000	1/1		
TTOF0466	C26H33NO2	+H	392.2582	32.1	1.09	0.140	1/1		
TTOF0467	C33H38N4O6	+H	587.2867	5.9	1.11	0.135	1/1		
TTOF0468	C23H26F2N2O4	+H	433.193	27.82	1.14	0.221	1/1		
TTOF0469	C28H39N7O3	+H	522.3181	3.95	1.09	0.415	1/1		
TTOF0470	C29H31N7O	+H	494.266	4.27	0.84	0.496	1/1		
TTOF0471	C5H5N5	+H	136.0616	3.57	1.30	0.010	1/1		
TTOF0472	C35H28F3N5O2	+H	608.2268	24.99	1.19	0.010	1/1		
TTOF0473	C20H25NO4	+H	344.187	4.73	1.09	0.234	1/1		
TTOF0474	C12H22O11	+H	343.1235	31.51	1.53	0.142	1/1		
TTOF0475	C21H25N3O2S	+H	384.1744	6.41	0.87	0.340	1/1		
TTOF0476	C26H26ClN3	+H	416.1883	5.13	1.24	0.190	1/1		
TTOF0477	C18H18N2O3	+H	311.139	21.62	1.24	0.002	1/1		
TTOF0478	C22H30FN3O7	+H	468.2137	16.94	1.04	0.205	1/1		
TTOF0479	C20H32O2	+H	305.2476	25.81	1.13	0.152	1/1		
TTOF0480	C12H10N2O	+H	199.0867	3.34	1.16	0.014	1/1		
TTOF0481	C20H19N3O	+H	318.1601	16.74	0.93	0.003	1/1		
TTOF0482	C11H14ClN	+H	196.0887	4.47	0.90	0.115	1/1		
TTOF0483	C16H14N2O3	+H	283.1076	21.32	1.12	0.167	1/1		
TTOF0484	C23H36O3	+H	361.2734	32.5	1.10	0.240	1/1		
TTOF0485	C13H18Br2N2O	+H	378.9834	4.45	1.15	0.126	1/1		
TTOF0486	C20H21N5O6	+H	428.1557	3.59	1.44	0.022	1/1		
TTOF0487	C11H12N2O2	+H	205.0969	3.27	1.05	0.210	1/1		
TTOF0488	C21H17Cl3N4OS	+H	479.0259	29.08	1.25	0.038	1/1		
TTOF0489	C29H36O10	+H	545.238	8.59	1.01	0.869	1/1		
TTOF0490	C27H44O3	+H	417.336	34.39	1.22	0.018	1/1		
TTOF0491	C20H28O6	+H	365.1963	21.05	1.01	0.644	1/1		
TTOF0492	C17H17ClFN3O3	+H	366.1014	3.9	1.34	0.003	1/1		
TTOF0493	C14H25N3O9	+H	380.1688	4.85	0.91	0.037	1/1		
TTOF0494	C16H16O5	+H	289.1077	4.85	1.41	0.003	1/1		
TTOF0495	C19H20FN3O3	+H	358.1569	3.54	1.34	0.012	1/1		
TTOF0496	C8H12N4S3	+H	261.0315	25.83	1.45	0.058	1/1		
TTOF0497	C25H21F3N4O3S	+H	515.1372	31.28	1.08	0.447	1/1		
TTOF0498	C23H33N5O2	+H	412.2705	4.14	1.15	0.129	1/1		
TTOF0499	C25H24N4O2	+H	413.1973	4.29	1.20	0.052	1/1		
TTOF0500	C22H21NO3	+H	348.1595	26.78	1.20	0.015	1/1		
TTOF0501	C27H28N4O3S2	+H	521.1677	26.32	1.11	0.158	1/1		
TTOF0502	C26H24ClN3O3	+H	462.1573	8	1.16	0.121	1/1		
TTOF0503	C22H30N4O	+H	367.2488	3.86	1.26	0.026	1/1		
TTOF0504	C14H10F3N5O2	+H	338.0857	15.86	1.37	0.020	1/1		
TTOF0505	C24H23N5OS	+H	430.1698	30.29	1.12	0.270	1/1		
TTOF0506	C16H16N2OS	+H	285.1058	18.04	0.71	0.063	1/1		
TTOF0507	C16H14N2O2S2	+H	331.0568	25.83	1.22	0.050	1/1		
TTOF0508	C23H22N6O2	+H	415.1872	4.03	1.25	0.015	1/1		
TTOF0509	C16H10N2O2	+H	263.0815	13.92	1.32	0.012	1/1		
TTOF0510	C18H14N2O4	+H	323.1025	13.74	1.40	0.002	1/1		
TTOF0511	C18H21F3N6O2	+H	411.1751	5.02	1.50	0.000	1/1		
TTOF0512	C17H11F6N7O	+H	444.0999	24.62	1.09	0.130	1/1		
TTOF0513	C31H29N5O6S	+H	600.1912	31.42	1.08	0.159	1/1		
TTOF0514	C21H27N7O	+H	394.235	9.11	1.13	0.005	1/1		
TTOF0515	C18H14Cl2N2O2	+H	361.0507	27.52	1.02	0.673	1/1		
TTOF0516	C19H20ClN3	+H	326.1419	9.94	0.88	0.236	1/1		
TTOF0517	C19H23N3O3	+H	342.1811	13.75	1.28	0.000	1/1		
TTOF0518	C31H32N6O2	+H	521.2672	31.31	0.92	0.231	1/1		
TTOF0519	C25H34N4O2S	+H	455.2475	21.35	1.27	0.039	1/1		
TTOF0520	C17H13ClN4	+H	309.0906	31.22	1.20	0.040	1/1		
TTOF0521	C16H10BrN3O2	+H	356.0027	26.03	1.17	0.117	1/1		
TTOF0522	C23H30N8O3S	+H	499.226	4.06	1.16	0.491	1/1		
TTOF0523	C22H21Cl2IN4O	+H	555.0219	31.65	0.98	0.900	1/1		
TTOF0524	C21H28N6O2	+H	397.2345	4.4	1.14	0.099	1/1		
TTOF0525	C18H17Cl2FN4OS	+H	427.0553	13.45	1.22	0.031	1/1		
TTOF0526	C22H24N8OS	+H	449.1868	26.53	1.20	0.012	1/1		
TTOF0527	C22H29N7O5	+H	472.2292	16.48	0.55	0.004	1/2		
TTOF0528	C21H16FN7O	+H	402.1474	8.55	1.07	0.233	1/1		
TTOF0529	C22H20N6O3	+H	417.1669	7.51	1.25	0.063	1/1		
TTOF0530	C18H17F2N3O2	+H	346.1363	25.85	1.10	0.309	1/1		
TTOF0531	C30H27BrN4O2	+H	555.1387	15.84	1.09	0.298	1/1		
TTOF0532	C19H16N8O	+H	373.1515	3.76	1.44	0.017	1/1		
TTOF0533	C25H23N5O2S	+H	458.1645	8.65	1.20	0.320	1/1		
TTOF0534	C19H18N2O5S2	+H	419.0728	28.41	1.07	0.392	1/1		
TTOF0535	C13H9Cl2N5	+H	306.0306	8.21	1.20	0.011	1/1		
TTOF0536	C19H17N3O3	+H	336.134	5.87	0.92	0.110	1/1		
TTOF0537	C24H25N5O3S	+H	464.1748	9.52	1.28	0.170	1/1		
TTOF0538	C29H29N7O2	+H	508.2454	4.48	1.40	0.026	1/1		
TTOF0539	C26H24F4N6O	+H	513.2039	8.74	1.28	0.044	1/1		
TTOF0540	C21H17FN2O2	+H	349.1349	8.44	1.16	0.102	1/1		
TTOF0541	C26H29N5O2	+H	444.2392	7.45	1.26	0.002	1/1		
TTOF0542	C22H19ClN4O5	+H	455.1119	12.89	1.49	0.039	1/1		
TTOF0543	C25H52NO4P	+H	462.3703	33.01	0.93	0.539	1/1		
TTOF0544	C20H19N5	+H	330.1715	14.53	1.16	0.003	1/1		
TTOF0545	C18H25NO3Si	+H	332.168	32.14	1.03	0.691	1/1		
TTOF0546	C25H23N5O2	+H	426.1921	3.96	1.21	0.004	1/1		
TTOF0547	C21H18F3N3O3S2	+H	482.0816	29.75	1.13	0.296	1/1		
TTOF0548	C32H36N6O4	+H	569.2876	19.37	1.06	0.429	1/1		
TTOF0549	C16H13FN2O2	+H	285.1035	14.96	1.20	0.002	1/1		
TTOF0550	C16H14IN3O2	+H	408.0206	9.27	1.39	0.079	1/1		
TTOF0551	C16H15N3O2	+H	282.1237	4.67	1.30	0.022	1/1		
TTOF0552	C12H21N3O2	+H	240.1703	15.11	0.97	0.632	1/1		
TTOF0553	C24H16F3NO4	+H	440.11	31.2	1.14	0.077	1/1		
TTOF0554	C19H16ClNO4	+H	358.0844	30.59	1.10	0.024	1/1		
TTOF0555	C22H19FN4O2	+H	391.1563	4.32	1.29	0.023	1/1		
TTOF0556	C22H24Cl2N2O4	+H	451.1183	27.67	1.24	0.007	1/1		
TTOF0557	C18H24N6O	+H	341.2086	6.19	1.17	0.171	1/1		
TTOF0558	C9H11NOS	+H	182.0631	5.4	1.26	0.091	1/1		
TTOF0559	C16H15N3O3	+H	298.1184	3.82	1.39	0.022	1/1		
TTOF0560	C25H27N5O5	+H	478.2084	24.39	1.01	0.924	1/1		
TTOF0561	C15H12N2O	+H	237.1024	22.42	1.14	0.026	1/1		
TTOF0562	C29H24ClN3O3S	+H	530.1298	29.27	1.24	0.069	1/1		
TTOF0563	C32H36N2O3	+H	497.2799	31.58	1.30	0.026	1/1		
TTOF0564	C15H23N5O2S	+H	338.1645	3.46	1.27	0.027	1/1		
TTOF0565	C17H16N4O2S	+H	341.1067	5.51	1.38	0.018	1/1		
TTOF0566	C15H14O3S2	+H	307.0456	27.19	1.26	0.045	1/1		
TTOF0567	C27H24N2O5	+H	457.1759	27.51	1.05	0.076	1/1		
TTOF0568	C19H17NO3	+H	308.1283	16.78	1.10	0.107	1/1		
TTOF0569	C20H24FN5O3	+H	402.1935	26.33	1.07	0.300	1/1		
TTOF0570	C24H30ClN7O2S	+H	516.1946	9.59	0.94	0.522	1/1		
TTOF0571	C11H10N2O2S	+H	235.0535	13.02	1.17	0.135	1/1		
TTOF0572	C24H28N8O2	+H	461.2409	12.85	1.04	0.679	1/1		
TTOF0573	C17H12BrFN2O3	+H	391.0085	21.25	1.13	0.056	1/1		
TTOF0574	C34H36FN5O2	+H	566.2918	25.4	1.20	0.012	1/1		
TTOF0575	C22H18FN3O2	+H	376.1458	12.96	1.36	0.013	1/1		
TTOF0576	C22H30N4O6	+H	447.2234	21.62	1.13	0.014	1/1		
TTOF0577	C18H13ClF6N2O3	+H	455.0587	31.28	1.03	0.502	1/1		
TTOF0578	C19H21F3N6	+H	391.1853	4.64	0.86	0.099	1/1		
TTOF0579	C28H25FN6O3	+H	513.2046	8.74	1.27	0.034	1/1		
TTOF0580	C23H24N6	+H	385.2137	10.4	1.00	0.938	1/1		
TTOF0581	C18H17N3O4S	+H	372.101	5.02	1.29	0.000	1/1		
TTOF0582	C21H27N3O3	+H	370.2127	14.16	1.06	0.370	1/1		
TTOF0583	C25H28Cl2N4O2	+H	487.1662	4.05	1.00	0.982	1/1		
TTOF0584	C16H14BrN3O2	+H	360.0343	8.02	1.21	0.001	1/1		
TTOF0585	C21H19FN4O	+H	363.1613	22.41	1.07	0.277	1/1		
TTOF0586	C23H17FN6O2	+H	429.147	17.85	0.85	0.133	1/1		
TTOF0587	C21H19F4N7	+H	446.1704	5.74	1.40	0.060	1/1		
TTOF0588	C20H15NO3	+H	318.1124	21.95	1.92	0.050	2/1		
TTOF0589	C20H23ClFNO	+H	348.1527	13.49	1.15	0.053	1/1		
TTOF0590	C21H21N5	+H	344.1871	4.73	1.09	0.243	1/1		
TTOF0591	C21H16FN3OS	+H	378.107	4.07	1.33	0.015	1/1		
TTOF0592	C18H17N5O3S	+H	384.1122	8.21	1.60	0.001	1/1		
TTOF0593	C16H12F3NOS	+H	324.0665	29.31	1.08	0.013	1/1		
TTOF0594	C16H13NO2	+H	252.102	25.76	1.17	0.001	1/1		
TTOF0595	C16H13ClFN3O2	+H	334.0755	6.93	1.19	0.055	1/1		
TTOF0596	C23H28N8OS	+H	465.2193	32.47	0.96	0.776	1/1		
TTOF0597	C26H34N2O5Si	+H	483.2316	32.47	1.00	0.988	1/1		
TTOF0598	C15H18BrN7	+H	376.0875	3.75	1.37	0.003	1/1		
TTOF0599	C20H22N2O5	+H	371.1605	18.85	0.55	0.000	1/2		
TTOF0600	C12H11ClN2O2S	+H	283.0303	26.35	0.99	0.772	1/1		
TTOF0601	C30H33N3O5S	+H	548.2209	8.15	1.58	0.014	1/1		
TTOF0602	C16H15NO2	+H	254.118	5.69	1.56	0.016	1/1		
TTOF0603	C23H23F3N2O4	+H	449.1683	29.17	1.05	0.194	1/1		
TTOF0604	C17H15FN2O3	+H	315.1139	14.99	1.27	0.008	1/1		
TTOF0605	C32H38ClN3O2	+H	532.2721	19.98	0.78	0.003	1/1		
TTOF0606	C19H15Br2N3O3	+H	493.9527	27.05	1.18	0.114	1/1		
TTOF0607	C20H21N3O2	+H	336.1708	7.31	1.08	0.141	1/1		
TTOF0608	C16H16F3N3O3	+H	356.122	31.05	1.24	0.006	1/1		
TTOF0609	C20H31N3O2S2	+H	410.1933	32.44	1.11	0.241	1/1		
TTOF0610	C17H18N2O4	+H	315.1338	4.31	1.28	0.020	1/1		
TTOF0611	C24H27N5O3	+H	434.2186	15.54	1.16	0.060	1/1		
TTOF0612	C20H21NO4S	+H	372.1267	27.4	1.12	0.257	1/1		
TTOF0613	C10H8BrN5OS	+H	325.9705	5.65	1.47	0.009	1/1		
TTOF0614	C18H15Cl4N3OS	+H	463.9731	29.88	1.24	0.007	1/1		
TTOF0615	C16H15NO7S	+H	366.064	16.61	1.39	0.007	1/1		
TTOF0616	C13H12N4O2S2	+H	321.0476	10.98	1.21	0.084	1/1		
TTOF0617	C12H7F2NO3S2	+H	315.991	28.2	1.26	0.073	1/1		
TTOF0618	C22H20N2O5S	+H	425.1161	13.32	1.30	0.034	1/1		
TTOF0619	C16H14N2O4	+H	299.1028	23.64	1.15	0.148	1/1		
TTOF0620	C24H25ClFN5O3	+H	486.1696	4.79	1.39	0.002	1/1		
TTOF0621	C21H20F3N7O3S	+H	508.1371	6.6	1.34	0.005	1/1		
TTOF0622	C25H30N6O	+H	431.2552	5.11	1.29	0.034	1/1		
TTOF0623	C25H27FN4O3	+H	451.2141	10.9	1.01	0.680	1/1		
TTOF0624	C17H15BrF2N4O3	+H	441.0366	9.06	1.27	0.003	1/1		
TTOF0625	C23H25NO	+H	332.2007	13.77	0.89	0.011	1/1		
TTOF0626	C17H15NO3	+H	282.1126	11.78	1.15	0.053	1/1		
TTOF0627	C43H69NO12	+H	792.4889	31.41	1.05	0.534	1/1		
TTOF0628	C23H18N4O3	+H	399.1452	4.68	1.27	0.112	1/1		
TTOF0629	C18H17N5O3	+H	352.1402	3.74	1.30	0.005	1/1		
TTOF0630	C19H14F3N3O3	+H	390.1035	14.63	1.20	0.021	1/1		
TTOF0631	C24H18F3N3O4	+H	470.1322	15.91	1.10	0.153	1/1		
TTOF0632	C22H19N5O	+H	370.1652	3.39	1.01	0.913	1/1		
TTOF0633	C18H21N5O2S	+H	372.1486	3.98	1.44	0.000	1/1		
TTOF0634	C20H19ClFN5OS	+H	432.1056	4.97	1.05	0.424	1/1		
TTOF0635	C17H17N7	+H	320.1619	8.53	1.22	0.052	1/1		
TTOF0636	C25H23N7OS	+H	470.1758	14.44	1.29	0.038	1/1		
TTOF0637	C17H14ClF2N3O3S	+H	414.0483	23.71	1.17	0.049	1/1		
TTOF0638	C18H16N2OS	+H	309.1059	30.81	1.09	0.260	1/1		
TTOF0639	C23H28N4O2	+H	393.2286	12.87	1.29	0.020	1/1		
TTOF0640	C19H18F3N3O6	+H	442.1217	21.46	1.13	0.047	1/1		
TTOF0641	C27H30ClN7O2	+H	520.2222	12.94	1.05	0.339	1/1		
TTOF0642	C24H25F3N6S	+H	487.1883	4.63	1.12	0.011	1/1		
TTOF0643	C19H19N5OS	+H	366.1381	26.81	1.23	0.073	1/1		
TTOF0644	C25H20N4O2S2	+H	473.1102	28.78	1.08	0.413	1/1		
TTOF0645	C16H13F3N4O	+H	335.1116	20.78	1.09	0.113	1/1		
TTOF0646	C27H27N5O2	+H	454.2234	3.32	1.03	0.116	1/1		
TTOF0647	C19H26N6O	+H	355.2242	9.33	1.26	0.119	1/1		
TTOF0648	C19H16N2O2S2	+H	369.0722	29.32	1.08	0.220	1/1		
TTOF0649	C17H15N5O	+H	306.135	6.85	1.25	0.015	1/1		
TTOF0650	C25H30N4O2	+H	419.2443	6.5	1.02	0.818	1/1		
TTOF0651	C17H21ClN4O3S2	+H	429.0813	5.3	1.33	0.022	1/1		
TTOF0652	C19H24N8	+H	365.2193	3.23	1.30	0.049	1/1		
TTOF0653	C28H30F3N7O3	+H	570.2438	13.41	1.12	0.057	1/1		
TTOF0654	C26H21F3N4O4	+H	511.1589	27.3	1.24	0.131	1/1		
TTOF0655	C20H17F2N3O2	+H	370.1364	28.14	1.09	0.053	1/1		
TTOF0656	C25H27N7O3S2	+H	538.1687	13.6	1.13	0.020	1/1		
TTOF0657	C21H21N3O2S	+H	380.1427	10.7	1.10	0.201	1/1		
TTOF0658	C15H22N2O3	+H	279.1704	9.58	1.01	0.921	1/1		
TTOF0659	C30H40ClN7O3S	+H	614.2677	9.28	0.86	0.114	1/1		
TTOF0660	C26H27N5O2	+H	442.2224	17.92	18.52	0.000	16/1		
TTOF0661	C17H18BrN3O4S	+H	440.027	21.35	1.20	0.009	1/1		
TTOF0662	C29H31F3N6O3	+H	569.2484	13.55	1.02	0.628	1/1		
TTOF0663	C14H7F6N3O	+H	348.0567	27.9	1.18	0.015	1/1		
TTOF0664	C16H14ClN3O2	+H	316.0849	7.3	1.06	0.016	1/1		
TTOF0665	C18H18N4O3S2	+H	403.089	6	1.31	0.009	1/1		
TTOF0666	C20H27N7O3S	+H	446.1965	6.74	1.36	0.032	1/1		
TTOF0667	C21H19N5O2S	+H	406.1343	31.92	1.04	0.169	1/1		
TTOF0668	C23H21N5O3	+H	416.1713	6.48	1.25	0.006	1/1		
TTOF0669	C18H17ClN2O3S	+H	377.0723	27.73	1.12	0.193	1/1		
TTOF0670	C19H17N3O2S2	+H	384.0835	24.82	1.37	0.004	1/1		
TTOF0671	C34H37N5O4	+H	580.2915	28.05	1.12	0.009	1/1		
TTOF0672	C19H18ClN5OS	+H	400.0994	15.61	1.00	0.926	1/1		
TTOF0673	C22H22FN3O3	+H	396.1717	10.27	1.27	0.001	1/1		
TTOF0674	C24H19N3O6	+H	446.1342	31.14	1.14	0.259	1/1		
TTOF0675	C27H28N4O2	+H	441.2286	6.71	1.10	0.000	1/1		
