feature_id	mz	rt	adduct	formula	fold_change	p_value	ratio	is_differential
QEHF0279	318.2431	17.79	[M-H]+	C20H31NO2	1.036964441	0.277300883	1\1	0
QEHF0280	325.115	0.59	[M-H]+	C13H16N4O6	1.119942766	0.205237598	1\1	0
QEHF0281	447.0931	6.33	[M-H]+	C21H18O11	1.137945529	0.039700833	1\1	0
QEHF0282	265.1914	0.58	[M-H]+	C15H24N2O2	0.97480863	0.615762611	1\1	0
QEHF0283	249.1965	0.58	[M-H]+	C15H24N2O	1.010876975	0.601589892	1\1	0
QEHF0284	385.13	4.47	[M-H]+	C22H16N4O3	1.096241475	0.141714885	1\1	0
QEHF0285	343.1441	4.4	[M-H]+	C14H22N4O4S	0.952940854	0.122973821	1\1	0
QEHF0286	153.0525	0.92	[M-H]+	C4H4N6O	0.939626369	0.507129029	1\1	0
QEHF0287	395.2136	10.75	[M-H]+	C24H27FN2O2	0.965344387	0.599656084	1\1	0
QEHF0288	381.2543	11.94	[M-H]+	C24H32N2O2	0.969751282	0.67079909	1\1	0
QEHF0289	453.2618	4.74	[M-H]+	C24H32N6O3	1.050299796	0.818329762	1\1	0
QEHF0290	330.1276	5.33	[M-H]+	C17H19N3O2S	0.918831828	0.120215737	1\1	0
QEHF0291	426.9846	18.51	[M-H]+	C17H18Br2N2O	1.078001337	0.168841407	1\1	0
QEHF0292	347.1257	3.96	[M-H]+	C18H14N6O2	1.042460509	0.444137684	1\1	0
QEHF0293	618.2413	7.72	[M-H]+	C28H40BrN7O4	0.698812646	0.000755208	1\1	0
QEHF0294	526.2182	23.05	[M-H]+	C26H26F3N7O2	1.043273866	0.443862197	1\1	0
QEHF0295	334.1667	29.57	[M-H]+	C19H19N5O	0.943173754	0.289711656	1\1	0
QEHF0296	330.0588	25.48	[M-H]+	C14H10F3NO5	0.944947269	0.575169902	1\1	0
QEHF0297	397.1709	6.19	[M-H]+	C21H24N4O2S	1.273687328	0.000487733	1\1	0
QEHF0298	455.0447	26.8	[M-H]+	C19H17Cl3N4O3	0.832040292	0.000331057	1\1	0
QEHF0299	315.1507	7.44	[M-H]+	C18H19FN2O2	1.048668611	0.4938199	1\1	0
QEHF0300	469.2471	7.04	[M-H]+	C26H28N8O	1.097420144	0.029203523	1\1	0
QEHF0301	352.1827	5.16	[M-H]+	C21H22FN3O	0.916884385	0.171735561	1\1	0
QEHF0302	322.1417	5.19	[M-H]+	C16H15N7O	0.948324483	0.429370681	1\1	0
QEHF0303	501.2732	5.17	[M-H]+	C27H32N8O2	0.985247004	0.796730623	1\1	0
QEHF0304	402.193	26.24	[M-H]+	C23H23O2N5	0.953828243	0.106818354	1\1	0
QEHF0305	287.1294	3.41	[M-H]+	C18H14N4	1.04932062	0.31088867	1\1	0
QEHF0306	341.1534	3.46	[M-H]+	C19H21ClN4	1.22410253	0.018702927	1\1	0
QEHF0307	481.2105	3.75	[M-H]+	C26H24N8O2	0.960101054	0.510717249	1\1	0
QEHF0308	435.1603	6.34	[M-H]+	C21H24ClFN4O3	0.989685034	0.689590531	1\1	0
QEHF0309	444.1198	26.82	[M-H]+	C24H17N3O6	1.033635202	0.182778823	1\1	0
QEHF0310	541.1432	21.87	[M-H]+	C25H25ClN6O4S	0.995778139	0.925446987	1\1	0
QEHF0311	479.1505	6.74	[M-H]+	C26H19ClN8	0.789712167	0.344930203	1\1	0
QEHF0312	592.2687	31.4	[M-H]+	C32H38ClN5O4	1.000099245	0.9991028	1\1	0
QEHF0313	428.2715	18.64	[M-H]+	C25H34FN3O2	1.038917976	0.658860941	1\1	0
QEHF0314	546.2835	6.16	[M-H]+	C29H35N7O4	1.278743668	0.000984129	1\1	0
QEHF0315	475.245	8.79	[M-H]+	C26H30N6O3	1.170079934	0.001138091	1\1	0
QEHF0316	573.345	3.92	[M-H]+	C34H44N4O4	1.020153612	0.773899642	1\1	0
QEHF0317	435.2513	5.34	[M-H]+	C24H30N6O2	0.97358581	0.731568199	1\1	0
QEHF0318	434.1696	12.6	[M-H]+	C22H22F3N3O3	0.947551632	0.423880282	1\1	0
QEHF0319	485.1897	5.5	[M-H]+	C24H29ClN6OS	0.893286308	0.211348874	1\1	0
QEHF0320	478.1566	26.14	[M-H]+	C21H24FN5O5S	0.955204036	0.343840075	1\1	0
QEHF0321	409.3332	3.58	[M-H]+	C26H40N4	1.394611179	0.001759245	1\1	0
QEHF0322	228.0344	6.03	[M-H]+	C11H11Cl2N	0.990077724	0.810443073	1\1	0
QEHF0323	639.3782	13.53	[M-H]+	C36H46N8O3	1.163469099	0.190323364	1\1	0
QEHF0324	628.1028	31.97	[M-H]+	C31H32BrNO4S2	1.005404526	0.962145606	1\1	0
QEHF0325	342.101	12.99	[M-H]+	C18H16ClN3O2	0.858906433	0.04231641	1\1	0
QEHF0326	507.2328	14.86	[M-H]+	C27H31FN6OS	1.006886473	0.843867872	1\1	0
QEHF0327	518.1657	27.68	[M-H]+	C24H22F3N5O5	0.920327809	0.185144714	1\1	0
QEHF0328	414.2869	3.86	[M-H]+	C23H35N5O2	1.03074738	0.786181564	1\1	0
QEHF0329	481.2928	4.56	[M-H]+	C26H36N6O3	0.880111558	0.093607959	1\1	0
QEHF0330	501.2341	15.01	[M-H]+	C26H33FN4O3S	0.935104772	0.36192642	1\1	0
QEHF0331	334.065	5.07	[M-H]+	C18H11N3O2S	0.945998122	0.262145822	1\1	0
QEHF0332	310.1417	14.73	[M-H]+	C15H15N7O	0.94670378	0.419456266	1\1	0
QEHF0333	448.1989	14.19	[M-H]+	C24H25N5O4	0.936751684	0.331897677	1\1	0
QEHF0334	354.1278	5.6	[M-H]+	C19H19N3O2S	1.039050391	0.502941133	1\1	0
QEHF0335	592.1	8.22	[M-H]+	C23H26IN7O2S	0.86088747	0.032191722	1\1	0
QEHF0336	401.0475	8.94	[M-H]+	C14H17IN4O2	0.995895301	0.964029653	1\1	0
QEHF0337	501.2064	9.97	[M-H]+	C29H29ClN4O2	1.080583142	0.326172043	1\1	0
QEHF0338	321.1004	7.85	[M-H]+	C14H16N4O3S	0.982391241	0.807113014	1\1	0
QEHF0339	471.1261	3.43	[M-H]+	C20H23BrN8O	1.01244877	0.828989649	1\1	0
QEHF0340	499.2512	25.23	[M-H]+	C30H31FN4O2	0.897388567	0.022538697	1\1	0
QEHF0341	376.0834	5.45	[M-H]+	C15H19Cl2N3O4	1.078477569	0.101692248	1\1	0
QEHF0342	557.0014	30.61	[M-H]+	C21H19Cl2IN4O2	0.97583956	0.381652425	1\1	0
QEHF0343	519.1241	26.74	[M-H]+	C27H20ClFN4O4	1.02515082	0.31216226	1\1	0
QEHF0344	388.1065	14.3	[M-H]+	C19H18ClN3O4	0.986606463	0.829115357	1\1	0
QEHF0345	521.1902	26.78	[M-H]+	C26H27F3N2O6	0.926410594	0.000260971	1\1	0
QEHF0346	327.0132	21.79	[M-H]+	C16H11BrN2O	0.948670075	0.499793839	1\1	0
QEHF0347	474.2298	21.76	[M-H]+	C30H27N5O	0.966870797	0.5575728	1\1	0
QEHF0348	434.1906	10.29	[M-H]+	C25H27N3O2S	0.985092427	0.635727871	1\1	0
QEHF0349	438.0895	25.99	[M-H]+	C19H20ClN3O5S	0.993190785	0.8085987	1\1	0
QEHF0350	370.1367	28.08	[M-H]+	C17H18F3N3O3	0.963190612	0.586169762	1\1	0
QEHF0351	331.0959	31.27	[M-H]+	C16H15ClN4O2	0.898330823	0.684935186	1\1	0
QEHF0352	227.1546	5.14	[M-H]+	C15H18N2	0.734037813	0.002400908	1\1	0
QEHF0353	354.0792	17.44	[M-H]+	C14H16ClN5O2S	0.987650823	0.837234336	1\1	0
QEHF0354	490.1997	16.55	[M-H]+	C28H23N7O2	0.95296081	0.496138512	1\1	0
QEHF0355	514.2032	7.09	[M-H]+	C27H27N7O2S	1.09896768	0.170702109	1\1	0
QEHF0356	561.195	24.52	[M-H]+	C30H26F2N4O5	1.042995868	0.101594503	1\1	0
QEHF0357	500.1637	11.46	[M-H]+	C23H25F4N3O3S	0.984639169	0.837201355	1\1	0
QEHF0358	638.1764	32.36	[M-H]+	C30H25F10NO3	1.017439736	0.919297514	1\1	0
QEHF0359	389.0905	17.19	[M-H]+	C19H17ClN2O5	1.037139665	0.486486408	1\1	0
QEHF0360	413.0816	30.78	[M-H]+	C21H20N2OS3	0.97034112	0.500126675	1\1	0
QEHF0361	174.0554	6.71	[M-H]+	C10H7NO2	1.093310233	0.216190933	1\1	0
QEHF0362	813.2673	19.66	[M-H]+	C42H45ClN6O5S2	0.923003437	0.416716585	1\1	0
QEHF0363	365.1615	15.14	[M-H]+	C20H20N4O3	0.960964861	0.515453225	1\1	0
QEHF0364	362.2557	3.53	[M-H]+	C19H31N5O2	1.001832312	0.974387262	1\1	0
QEHF0365	272.9874	5.54	[M-H]+	C9H9BrN2O3	0.955057663	0.505078231	1\1	0
QEHF0366	454.2611	6.35	[M-H]+	C28H31N5O	0.529937187	0.00123272	1\2	1
QEHF0367	463.2515	19.4	[M-H]+	C27H31FN4O2	0.986468735	0.820709018	1\1	0
QEHF0368	283.1445	7.84	[M-H]+	C17H18N2O2	1.071711903	0.063611586	1\1	0
QEHF0369	162.0551	3.69	[M-H]+	C9H7NO2	1.045505077	0.562657226	1\1	0
QEHF0370	480.1033	7.71	[M-H]+	C21H23Cl2N5O2S	1.047897583	0.305233675	1\1	0
QEHF0371	370.2497	5.59	[M-H]+	C22H31N3O2	0.898571449	0.004471813	1\1	0
QEHF0372	974.3051	26	[M-H]+	C47H55ClF3N5O6S3	0.923121475	0.357421456	1\1	0
QEHF0373	517.2377	24.84	[M-H]+	C30H33ClN4O2	0.945283986	0.04928265	1\1	0
QEHF0374	441.277	3.86	[M-H]+	C27H32N6	1.104508399	0.227506809	1\1	0
QEHF0375	408.2512	10.19	[M-H]+	C22H29N7O	0.912795303	0.164696195	1\1	0
QEHF0376	517.2263	24.56	[M-H]+	C31H33ClN2O3	0.953965159	0.047085862	1\1	0
QEHF0377	418.1047	9.99	[M-H]+	C20H15ClF3N5	0.94385574	0.290202917	1\1	0
QEHF0378	280.0753	21.7	[M-H]+	C12H13N3O3S	1.044238916	0.425613991	1\1	0
QEHF0379	381.2768	5.36	[M-H]+	C22H32N6	1.294488142	0.049146236	1\1	0
QEHF0380	368.2088	3.85	[M-H]+	C20H25N5O2	1.139353641	0.198711148	1\1	0
QEHF0381	353.1502	6.47	[M-H]+	C20H20N2O4	0.995298302	0.913637636	1\1	0
QEHF0382	383.1484	6.65	[M-H]+	C21H17F3N4	0.978837752	0.564990883	1\1	0
QEHF0383	380.1764	3.4	[M-H]+	C25H21N3O	1.195123915	0.086934847	1\1	0
QEHF0384	405.0976	8.19	[M-H]+	C19H12F4N4O2	0.868094764	0.007830446	1\1	0
QEHF0385	396.1673	6.19	[M-H]+	C20H21N5O4	1.29260809	0.000449791	1\1	0
QEHF0386	374.2346	8.84	[M-H]+	C23H27N5	1.031493078	0.223225857	1\1	0
QEHF0387	251.1546	9.79	[M-H]+	C17H18N2	0.748694067	0.004236319	1\1	0
QEHF0388	545.175	31.24	[M-H]+	C30H28N2O6S	0.937760787	0.24964771	1\1	0
QEHF0389	376.0298	4.76	[M-H]+	C16H14BrN3O3	1.023821428	0.5603794	1\1	0
QEHF0390	601.1757	31.97	[M-H]+	C26H25F9N2O4	1.010573301	0.971071074	1\1	0
QEHF0391	416.2226	29.49	[M-H]+	C27H29NO3	0.935139403	0.219645556	1\1	0
QEHF0392	443.1742	9.01	[M-H]+	C24H27ClN2O4	1.107482888	0.182877881	1\1	0
QEHF0393	378.1618	27.61	[M-H]+	C22H20FN3O2	1.025098427	0.761136406	1\1	0
QEHF0394	284.1066	4.03	[M-H]+	C12H17N3O3S	0.924546207	0.442511135	1\1	0
QEHF0395	384.2087	20.96	[M-H]+	C22H26FN3O2	1.072846819	0.330703047	1\1	0
QEHF0396	367.127	7.41	[M-H]+	C18H17F3N2O3	1.134022386	0.147687883	1\1	0
QEHF0397	312.171	4.9	[M-H]+	C18H21N3O2	0.957660521	0.204808998	1\1	0
QEHF0398	429.2181	9.95	[M-H]+	C27H28N2O3	0.941648858	0.348671751	1\1	0
QEHF0399	367.0083	24.79	[M-H]+	C18H11BrN2O2	0.955577554	0.002160647	1\1	0
QEHF0400	350.0698	19.73	[M-H]+	C19H12ClN3O2	1.002872245	0.959752479	1\1	0
QEHF0401	229.1339	3.62	[M-H]+	C14H16N2O	1.056288205	0.480657929	1\1	0
QEHF0402	500.2781	5.47	[M-H]+	C28H33N7O2	1.123595022	0.057475773	1\1	0
QEHF0403	335.0465	21.38	[M-H]+	C15H12Cl2N4O	1.262798542	0.126676281	1\1	0
QEHF0404	366.0302	17.56	[M-H]+	C17H13Cl2NO4	1.055891301	0.395581843	1\1	0
QEHF0405	509.1157	28.55	[M-H]+	C26H22Cl2N4O3	0.972245273	0.622227942	1\1	0
QEHF0406	525.1956	28.76	[M-H]+	C29H32O7S	0.938262241	0.49784587	1\1	0
QEHF0407	548.2226	7.98	[M-H]+	C25H31N7O6	1.398219292	1.81E-05	2\1	1
QEHF0408	539.2545	4.01	[M-H]+	C28H35ClN6O3	0.950506717	0.283552782	1\1	0
QEHF0409	398.1717	3.55	[M-H]+	C21H23N3O5	1.006982438	0.867130741	1\1	0
QEHF0410	393.1651	4.69	[M-H]+	C18H19F3N6O	0.955923616	0.480309039	1\1	0
QEHF0411	358.1444	28.24	[M-H]+	C23H19NO3	0.98093687	0.565166087	1\1	0
QEHF0412	606.403	3.51	[M-H]+	C35H51N5O4	1.03297761	0.199804332	1\1	0
QEHF0413	261.1351	3.51	[M-H]+	C13H16N4O2	1.072130914	0.369771377	1\1	0
QEHF0414	580.2813	5.58	[M-H]+	C30H38ClN7O3	1.433858127	0.017760257	1\1	0
QEHF0415	495.9274	11.92	[M-H]+	C17H13Br2N5OS	0.846549473	0.165305341	1\1	0
QEHF0416	310.1354	6.79	[M-H]+	C18H16FN3O	1.022213402	0.652895426	1\1	0
QEHF0417	407.1632	4.81	[M-H]+	C21H19FN6O2	1.154167042	0.008112304	1\1	0
QEHF0418	351.132	31.56	[M-H]+	C18H17F3N2O2	0.907556789	0.455657008	1\1	0
QEHF0419	324.0194	17.41	[M-H]+	C15H11Cl2NO3	1.079386767	0.246825302	1\1	0
QEHF0420	529.2255	3.69	[M-H]+	C26H34ClN6O2P	1.047336351	0.713583184	1\1	0
QEHF0421	365.1977	20.53	[M-H]+	C21H24N4O2	1.12926796	0.417012347	1\1	0
QEHF0422	570.3564	11.77	[M-H]+	C33H43N7O2	1.077169135	0.090972652	1\1	0
QEHF0423	373.1237	3.99	[M-H]+	C20H16N6S	0.976899026	0.622503609	1\1	0
QEHF0424	308.1973	4.87	[M-H]+	C16H25N3O3	0.962884787	0.365915279	1\1	0
QEHF0425	525.2655	3.99	[M-H]+	C27H36N6O3S	1.160401298	0.126128766	1\1	0
QEHF0426	476.1245	17.37	[M-H]+	C18H23F2N5O4S2	0.997600347	0.955007921	1\1	0
QEHF0427	613.2143	7.22	[M-H]+	C28H36O15	1.07388855	0.032722466	1\1	0
QEHF0428	271.1445	4.97	[M-H]+	C16H18N2O2	1.147973831	0.239105812	1\1	0
QEHF0429	468.1606	4.88	[M-H]+	C24H23ClFN5O2	0.87114809	0.014556024	1\1	0
QEHF0430	959.5238	9.71	[M-H]+	C48H78O19	0.998451319	0.97831884	1\1	0
QEHF0431	412.3216	9.81	[M-H]+	C27H41NO2	0.828051463	0.006101012	1\1	0
QEHF0432	213.1026	4.08	[M-H]+	C13H12N2O	0.932824954	0.037446975	1\1	0
QEHF0433	361.1652	8.58	[M-H]+	C20H24O6	0.973510685	0.750756612	1\1	0
QEHF0434	432.0224	6.24	[M-H]+	C15H15FIN3O3	0.970580567	0.090225038	1\1	0
QEHF0435	421.2743	32.17	[M-H]+	C28H36O3	0.938032679	0.396229888	1\1	0
QEHF0436	363.1458	4.31	[M-H]+	C17H19FN4O4	0.541035322	0.001121773	1\2	1
QEHF0437	633.2536	8.3	[M-H]+	C34H34F2N4O6	0.884567249	0.294191025	1\1	0
QEHF0438	546.1429	19.8	[M-H]+	C25H22F3N5O4S	1.053942645	0.454806084	1\1	0
QEHF0439	329.0901	25.7	[M-H]+	C18H11F3N2O	1.042891956	0.370062277	1\1	0
QEHF0440	563.3466	3.61	[M-H]+	C30H42N8O3	1.091810881	0.018027022	1\1	0
QEHF0441	609.2975	0.58	[M-H]+	C37H40N2O6	0.910965874	0.096360179	1\1	0
QEHF0442	192.077	3.32	[M-H]+	C9H9N3O2	1.051646871	0.539227745	1\1	0
QEHF0443	401.3059	33.31	[M-H]+	C26H40O3	0.953656676	0.432653321	1\1	0
QEHF0444	359.2223	14.14	[M-H]+	C22H30O4	0.996388607	0.961878222	1\1	0
QEHF0445	560.2081	23.93	[M-H]+	C28H37N3O3S3	0.922685455	0.05439213	1\1	0
QEHF0446	435.2035	7.83	[M-H]+	C24H26N4O4	1.050475614	0.081496973	1\1	0
QEHF0447	486.9446	30.77	[M-H]+	C16H14Br2N4O4	0.950600324	0.612269723	1\1	0
QEHF0448	168.034	0.91	[M-H]+	C5H5N5S	0.934354864	0.534345277	1\1	0
QEHF0449	126.0551	0.63	[M-H]+	C6H7NO2	0.967814256	0.588589133	1\1	0
QEHF0450	459.0061	11.65	[M-H]+	C17H15BrClFN4O3	1.084727941	0.0911471	1\1	0
QEHF0451	465.1014	26.06	[M-H]+	C21H16F4N4O2S	0.947235823	0.510882702	1\1	0
QEHF0452	377.1615	3.54	[M-H]+	C21H20N4O3	0.968891705	0.58766927	1\1	0
QEHF0453	542.2177	4.26	[M-H]+	C27H32ClN5O5	0.551561303	0.00027543	1\2	1
QEHF0454	524.0375	6.61	[M-H]+	C19H17N5O7S3	1.121465936	0.001836457	1\1	0
QEHF0455	392.2588	32.18	[M-H]+	C26H33NO2	0.935369757	0.275336746	1\1	0
QEHF0456	248.0504	1.93	[M-H]+	C8H10FN3O3S	0.856143799	0.093096241	1\1	0
QEHF0457	587.2879	5.88	[M-H]+	C33H38N4O6	0.986465257	0.711621395	1\1	0
QEHF0458	433.1941	27.78	[M-H]+	C23H26F2N2O4	0.843943497	0.059872243	1\1	0
QEHF0459	469.2588	31.37	[M-H]+	C28H36O6	0.874474266	0.524807018	1\1	0
QEHF0460	522.32	3.95	[M-H]+	C28H39N7O3	0.992025389	0.876023096	1\1	0
QEHF0461	494.2667	18.1	[M-H]+	C29H31N7O	1.044444229	0.318694478	1\1	0
QEHF0462	448.2466	4.66	[M-H]+	C24H29N7O2	1.07176558	0.084681264	1\1	0
QEHF0463	136.062	0.58	[M-H]+	C5H5N5	0.958594463	0.069738644	1\1	0
QEHF0464	608.2283	24.86	[M-H]+	C35H28F3N5O2	1.049895819	0.125793702	1\1	0
QEHF0465	344.1864	4.5	[M-H]+	C20H25NO4	0.735371304	0.442906516	1\1	0
QEHF0466	343.1227	31.6	[M-H]+	C12H22O11	0.899317508	0.307517153	1\1	0
QEHF0467	384.1746	6.31	[M-H]+	C21H25N3O2S	0.738189901	0.004531129	1\1	0
QEHF0468	358.1681	3.75	[M-H]+	C18H20FN5O2	1.019840408	0.793510453	1\1	0
QEHF0469	416.1894	4.99	[M-H]+	C26H26ClN3	0.82379718	0.103650676	1\1	0
QEHF0470	311.1391	21.19	[M-H]+	C18H18N2O3	1.042020349	0.573204239	1\1	0
QEHF0471	468.2152	16.62	[M-H]+	C22H30FN3O7	1.10619329	0.278857735	1\1	0
QEHF0472	296.1397	3.4	[M-H]+	C17H17N3O2	1.090765473	0.107800433	1\1	0
QEHF0473	305.2478	25.7	[M-H]+	C20H32O2	0.916392827	0.414640583	1\1	0
QEHF0474	199.0869	3.38	[M-H]+	C12H10N2O	1.07165105	0.077344727	1\1	0
QEHF0475	318.1605	16.58	[M-H]+	C20H19N3O	1.084992306	0.096596475	1\1	0
QEHF0476	196.0893	4.49	[M-H]+	C11H14ClN	1.066565583	0.009787217	1\1	0
QEHF0477	283.1081	20.88	[M-H]+	C16H14N2O3	1.057853908	0.537501961	1\1	0
QEHF0478	361.2741	32.52	[M-H]+	C23H36O3	1.002224517	0.989791764	1\1	0
QEHF0479	378.9846	4.47	[M-H]+	C13H18Br2N2O	1.05019622	0.1274034	1\1	0
QEHF0480	428.1573	3.59	[M-H]+	C20H21N5O6	1.046525847	0.400979369	1\1	0
QEHF0481	479.0273	28.96	[M-H]+	C21H17Cl3N4OS	1.045488949	0.396326955	1\1	0
QEHF0482	545.2394	8.44	[M-H]+	C29H36O10	0.926248283	0.209985547	1\1	0
QEHF0483	417.3371	34.31	[M-H]+	C27H44O3	0.902622672	0.221587385	1\1	0
QEHF0484	366.1023	3.92	[M-H]+	C17H17ClFN3O3	1.040644989	0.381253922	1\1	0
QEHF0485	358.1567	3.57	[M-H]+	C19H20FN3O3	1.064550505	0.109112912	1\1	0
QEHF0486	515.1369	31.37	[M-H]+	C25H21F3N4O3S	0.941559831	0.534108154	1\1	0
QEHF0487	218.0815	3.8	[M-H]+	C12H11NO3	0.986584242	0.748313069	1\1	0
QEHF0488	412.2713	4.18	[M-H]+	C23H33N5O2	1.011235264	0.758065646	1\1	0
QEHF0489	413.1977	4.27	[M-H]+	C25H24N4O2	1.01090939	0.793547177	1\1	0
QEHF0490	348.1599	26.5	[M-H]+	C22H21NO3	1.034653399	0.199667768	1\1	0
QEHF0491	521.1688	26.26	[M-H]+	C27H28N4O3S2	0.968842564	0.336305536	1\1	0
QEHF0492	462.1587	7.87	[M-H]+	C26H24ClN3O3	1.088611081	0.047225725	1\1	0
QEHF0493	367.25	3.87	[M-H]+	C22H30N4O	1.039700382	0.537184808	1\1	0
QEHF0494	430.1702	30.22	[M-H]+	C24H23N5OS	1.009484726	0.781352881	1\1	0
QEHF0495	285.1059	17.54	[M-H]+	C16H16N2OS	0.988261577	0.880646352	1\1	0
QEHF0496	331.0574	25.69	[M-H]+	C16H14N2O2S2	0.950633024	0.217817288	1\1	0
QEHF0497	263.0819	13.48	[M-H]+	C16H10N2O2	1.068934152	0.59494774	1\1	0
QEHF0498	323.1031	13.3	[M-H]+	C18H14N2O4	1.048114005	0.354563983	1\1	0
QEHF0499	411.1757	4.97	[M-H]+	C18H21F3N6O2	1.295677457	0.022706713	1\1	0
QEHF0500	600.1922	31.52	[M-H]+	C31H29N5O6S	0.899132181	0.209008537	1\1	0
QEHF0501	394.2354	8.96	[M-H]+	C21H27N7O	0.961611235	0.48262559	1\1	0
QEHF0502	361.0511	27.44	[M-H]+	C18H14Cl2N2O2	0.914135756	0.361264516	1\1	0
QEHF0503	353.1138	27.39	[M-H]+	C19H16N2O5	0.966739849	0.686324505	1\1	0
QEHF0504	326.1424	9.89	[M-H]+	C19H20ClN3	0.760059145	0.008820744	1\1	0
QEHF0505	342.1818	13.46	[M-H]+	C19H23N3O3	1.047646794	0.440368348	1\1	0
QEHF0506	521.2669	31.39	[M-H]+	C31H32N6O2	0.862384668	0.048459053	1\1	0
QEHF0507	455.2485	21.4	[M-H]+	C25H34N4O2S	1.11099866	0.322760928	1\1	0
QEHF0508	309.0905	31.27	[M-H]+	C17H13ClN4	1.106022747	0.13345225	1\1	0
QEHF0509	451.1527	12.78	[M-H]+	C23H27ClO7	1.044862923	0.71160312	1\1	0
QEHF0510	356.0036	25.83	[M-H]+	C16H10BrN3O2	1.071290379	0.238914541	1\1	0
QEHF0511	499.2245	3.8	[M-H]+	C23H30N8O3S	0.982690858	0.73142436	1\1	0
QEHF0512	555.0217	31.74	[M-H]+	C22H21Cl2IN4O	0.920251958	0.138359509	1\1	0
QEHF0513	397.2353	4.38	[M-H]+	C21H28N6O2	0.895198737	0.010095964	1\1	0
QEHF0514	427.0565	13.39	[M-H]+	C18H17Cl2FN4OS	1.011114819	0.889145849	1\1	0
QEHF0515	449.1876	26.3	[M-H]+	C22H24N8OS	1.169467822	0.059922783	1\1	0
QEHF0516	472.2313	3.51	[M-H]+	C22H29N7O5	1.017202987	0.746707863	1\1	0
QEHF0517	325.1778	5.96	[M-H]+	C19H26O3	1.130105491	0.007210484	1\1	0
QEHF0518	402.148	8.24	[M-H]+	C21H16FN7O	0.970668467	0.267427919	1\1	0
QEHF0519	417.1676	7.23	[M-H]+	C22H20N6O3	0.944368632	0.270023532	1\1	0
QEHF0520	341.1516	3.37	[M-H]+	C20H16N6	0.99373172	0.836951469	1\1	0
QEHF0521	346.1366	25.73	[M-H]+	C18H17F2N3O2	0.94082812	0.167246186	1\1	0
QEHF0522	555.1401	15.78	[M-H]+	C30H27BrN4O2	1.025489441	0.64482902	1\1	0
QEHF0523	373.1527	3.73	[M-H]+	C19H16N8O	1.05150345	0.422218176	1\1	0
QEHF0524	458.1654	8.44	[M-H]+	C25H23N5O2S	1.008604694	0.930150909	1\1	0
QEHF0525	419.0735	28.31	[M-H]+	C19H18N2O5S2	0.950401276	0.483207288	1\1	0
QEHF0526	306.0312	7.81	[M-H]+	C13H9Cl2N5	1.098887967	0.100829791	1\1	0
QEHF0527	336.1349	5.82	[M-H]+	C19H17N3O3	0.863797484	0.123420389	1\1	0
QEHF0528	464.1764	9.38	[M-H]+	C24H25N5O3S	0.953815651	0.286410362	1\1	0
QEHF0529	508.2468	4.39	[M-H]+	C29H29N7O2	0.994333563	0.937882311	1\1	0
QEHF0530	349.1353	8.11	[M-H]+	C21H17FN2O2	0.819886563	0.209065767	1\1	0
QEHF0531	444.2405	7.26	[M-H]+	C26H29N5O2	1.093808864	0.030943365	1\1	0
QEHF0532	455.1126	12.79	[M-H]+	C22H19ClN4O5	1.100435467	0.032855977	1\1	0
QEHF0533	462.3714	31.72	[M-H]+	C25H52NO4P	1.030528507	0.866444013	1\1	0
QEHF0534	330.1717	14.35	[M-H]+	C20H19N5	1.008630074	0.884586778	1\1	0
QEHF0535	332.168	32.18	[M-H]+	C18H25NO3Si	0.938888006	0.393987641	1\1	0
QEHF0536	426.1931	3.93	[M-H]+	C25H23N5O2	0.987187462	0.684517434	1\1	0
QEHF0537	482.0828	29.68	[M-H]+	C21H18F3N3O3S2	0.909432154	0.296984048	1\1	0
QEHF0538	569.2878	19.24	[M-H]+	C32H36N6O4	0.990737196	0.871792363	1\1	0
QEHF0539	285.1037	14.47	[M-H]+	C16H13FN2O2	0.959608314	0.664483862	1\1	0
QEHF0540	408.021	9.1	[M-H]+	C16H14IN3O2	1.275391829	0.002652634	1\1	0
QEHF0541	282.1241	4.67	[M-H]+	C16H15N3O2	1.170612973	0.044000233	1\1	0
QEHF0542	240.1709	14.83	[M-H]+	C12H21N3O2	0.943694998	0.473209839	1\1	0
QEHF0543	440.1114	31.29	[M-H]+	C24H16F3NO4	0.943815362	0.656093706	1\1	0
QEHF0544	358.0847	30.53	[M-H]+	C19H16ClNO4	0.993824858	0.866056925	1\1	0
QEHF0545	391.157	4.26	[M-H]+	C22H19FN4O2	1.002360334	0.971291074	1\1	0
QEHF0546	451.1196	27.64	[M-H]+	C22H24Cl2N2O4	0.946706316	0.544906502	1\1	0
QEHF0547	341.209	6.14	[M-H]+	C18H24N6O	1.101183624	0.002836695	1\1	0
QEHF0548	182.0638	5.49	[M-H]+	C9H11NOS	0.962574205	0.597963407	1\1	0
QEHF0549	298.119	3.84	[M-H]+	C16H15N3O3	1.107916623	0.055797946	1\1	0
QEHF0550	478.2096	24.14	[M-H]+	C25H27N5O5	0.99899573	0.941328804	1\1	0
QEHF0551	237.1026	11.01	[M-H]+	C15H12N2O	1.013590333	0.870724189	1\1	0
QEHF0552	530.1312	28.9	[M-H]+	C29H24ClN3O3S	0.921635941	0.100094007	1\1	0
QEHF0553	497.2805	31.64	[M-H]+	C32H36N2O3	0.947107384	0.416341904	1\1	0
QEHF0554	338.1651	3.51	[M-H]+	C15H23N5O2S	1.077148569	0.259920598	1\1	0
